;z     fit    dndz (normalized fit)
      0.0050000       0.0000000        0.0000000000000000
      0.0050038       0.0000000        0.0000000000000000
      0.0050076       0.0000000        0.0000000000000000
      0.0050114       0.0000000        0.0000000000000000
      0.0050152       0.0000000        0.0000000000000000
      0.0050190       0.0000000        0.0000000000000000
      0.0050229       0.0000000        0.0000000000000000
      0.0050267       0.0000000        0.0000000000000000
      0.0050305       0.0000000        0.0000000000000000
      0.0050343       0.0000000        0.0000000000000000
      0.0050382       0.0000000        0.0000000000000000
      0.0050420       0.0000000        0.0000000000000000
      0.0050458       0.0000000        0.0000000000000000
      0.0050497       0.0000000        0.0000000000000000
      0.0050535       0.0000000        0.0000000000000000
      0.0050573       0.0000000        0.0000000000000000
      0.0050612       0.0000000        0.0000000000000000
      0.0050650       0.0000000        0.0000000000000000
      0.0050689       0.0000000        0.0000000000000000
      0.0050727       0.0000000        0.0000000000000000
      0.0050766       0.0000000        0.0000000000000000
      0.0050805       0.0000000        0.0000000000000000
      0.0050843       0.0000000        0.0000000000000000
      0.0050882       0.0000000        0.0000000000000000
      0.0050921       0.0000000        0.0000000000000000
      0.0050959       0.0000000        0.0000000000000000
      0.0050998       0.0000000        0.0000000000000000
      0.0051037       0.0000000        0.0000000000000000
      0.0051076       0.0000000        0.0000000000000000
      0.0051114       0.0000000        0.0000000000000000
      0.0051153       0.0000000        0.0000000000000000
      0.0051192       0.0000000        0.0000000000000000
      0.0051231       0.0000000        0.0000000000000000
      0.0051270       0.0000000        0.0000000000000000
      0.0051309       0.0000000        0.0000000000000000
      0.0051348       0.0000000        0.0000000000000000
      0.0051387       0.0000000        0.0000000000000000
      0.0051426       0.0000000        0.0000000000000000
      0.0051465       0.0000000        0.0000000000000000
      0.0051504       0.0000000        0.0000000000000000
      0.0051544       0.0000000        0.0000000000000000
      0.0051583       0.0000000        0.0000000000000000
      0.0051622       0.0000000        0.0000000000000000
      0.0051661       0.0000000        0.0000000000000000
      0.0051701       0.0000000        0.0000000000000000
      0.0051740       0.0000000        0.0000000000000000
      0.0051779       0.0000000        0.0000000000000000
      0.0051819       0.0000000        0.0000000000000000
      0.0051858       0.0000000        0.0000000000000000
      0.0051897       0.0000000        0.0000000000000000
      0.0051937       0.0000000        0.0000000000000000
      0.0051976       0.0000000        0.0000000000000000
      0.0052016       0.0000000        0.0000000000000000
      0.0052055       0.0000000        0.0000000000000000
      0.0052095       0.0000000        0.0000000000000000
      0.0052135       0.0000000        0.0000000000000000
      0.0052174       0.0000000        0.0000000000000000
      0.0052214       0.0000000        0.0000000000000000
      0.0052254       0.0000000        0.0000000000000000
      0.0052293       0.0000000        0.0000000000000000
      0.0052333       0.0000000        0.0000000000000000
      0.0052373       0.0000000        0.0000000000000000
      0.0052413       0.0000000        0.0000000000000000
      0.0052453       0.0000000        0.0000000000000000
      0.0052493       0.0000000        0.0000000000000000
      0.0052532       0.0000000        0.0000000000000000
      0.0052572       0.0000000        0.0000000000000000
      0.0052612       0.0000000        0.0000000000000000
      0.0052652       0.0000000        0.0000000000000000
      0.0052692       0.0000000        0.0000000000000000
